timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-06-14 12:48:10,SSSP,time,BCF,../data/graphs/aug_badbfct10.txt,0,10000,1,0,1,0,1,1,100,1234,0,1234,12134,0,0.32606,0.21825,0.11769,5.3738,39,1111,trends_bcf_aug_bfct
2024-06-14 12:48:14,SSSP,time,BCF,../data/graphs/aug_badbfct31.txt,0,3100,1,0,1,0,1,1,100,1234,0,1234,12134,0,4.1723,1.3815,2.3563,12.117,123,11254,trends_bcf_aug_bfct
2024-06-14 12:48:27,SSSP,time,BCF,../data/graphs/aug_badbfct100.txt,0,100,1,0,1,0,1,1,100,1234,0,1234,12134,0,46.113,7.6782,32.969,64.578,399,119101,trends_bcf_aug_bfct
2024-06-14 12:48:31,SSSP,time,BCF,../data/graphs/aug_badbfct310.txt,0,31,1,0,1,0,1,1,100,1234,0,1234,12134,0,460.75,25.596,433.99,560.38,1239,1150411,trends_bcf_aug_bfct
2024-06-14 12:48:46,SSSP,time,BCF,../data/graphs/aug_badbfct1000.txt,0,10,1,0,1,0,1,1,100,1234,0,1234,12134,0,6025.5,161.77,5795.4,6316.7,3999,11991001,trends_bcf_aug_bfct
2024-06-14 13:01:23,SSSP,time,BCF,../data/graphs/aug_badbfct10.txt,0,10000,1,0,1,0,1,1,100,1234,0,1234,12134,0,0.24635,0.20246,0.13397,4.3094,39,1111,trends_bcf_aug_bfct
2024-06-14 13:01:25,SSSP,time,BCF,../data/graphs/aug_badbfct31.txt,0,3100,1,0,1,0,1,1,100,1234,0,1234,12134,0,3.2099,1.1347,1.7221,8.9099,123,11254,trends_bcf_aug_bfct
2024-06-14 13:01:36,SSSP,time,BCF,../data/graphs/aug_badbfct100.txt,0,100,1,0,1,0,1,1,100,1234,0,1234,12134,0,38.733,6.6994,26.78,60.049,399,119101,trends_bcf_aug_bfct
2024-06-14 13:01:40,SSSP,time,BCF,../data/graphs/aug_badbfct310.txt,0,31,1,0,1,0,1,1,100,1234,0,1234,12134,0,404.27,32.985,377.84,550.53,1239,1150411,trends_bcf_aug_bfct
2024-06-14 13:01:53,SSSP,time,BCF,../data/graphs/aug_badbfct1000.txt,0,10,1,0,1,0,1,1,100,1234,0,1234,12134,0,5468.8,138.56,5280.6,5737.2,3999,11991001,trends_bcf_aug_bfct
2024-06-14 13:03:00,SSSP,time,BCF,../data/graphs/aug_badbfct10.txt,0,10000,1,0,1,0,1,1,100,1234,0,1234,12134,0,0.22444,0.18202,0.12985,7.8944,39,1111,trends_bcf_aug_bfct
2024-06-14 13:49:10,SSSP,time,BCF,../data/graphs/aug_badbfct10.txt,0,10000,1,0,1,0,1,1,100,1234,0,1234,12134,0,0.2004,0.18967,0.11104,8.2536,39,1111,trends_bcf_aug_bfct
2024-06-14 13:49:12,SSSP,time,BCF,../data/graphs/aug_badbfct31.txt,0,3100,1,0,1,0,1,1,100,1234,0,1234,12134,0,2.6341,1.1641,1.3395,13.987,123,11254,trends_bcf_aug_bfct
2024-06-14 13:49:20,SSSP,time,BCF,../data/graphs/aug_badbfct100.txt,0,100,1,0,1,0,1,1,100,1234,0,1234,12134,0,34.278,5.9026,24.862,48.696,399,119101,trends_bcf_aug_bfct
2024-06-14 13:49:24,SSSP,time,BCF,../data/graphs/aug_badbfct310.txt,0,31,1,0,1,0,1,1,100,1234,0,1234,12134,0,420.46,49.001,355.24,580.54,1239,1150411,trends_bcf_aug_bfct
2024-06-14 13:49:37,SSSP,time,BCF,../data/graphs/aug_badbfct1000.txt,0,10,1,0,1,0,1,1,100,1234,0,1234,12134,0,5422.6,405.82,4686.8,5998.7,3999,11991001,trends_bcf_aug_bfct
2024-06-14 13:58:24,SSSP,time,BCF,../data/graphs/aug_badbfct10.txt,0,10000,1,0,1,0,1,1,100,1234,0,1234,12134,0,0.19943,0.15439,0.12012,3.696,39,1111,trends_bcf_aug_bfct
2024-06-14 13:58:26,SSSP,time,BCF,../data/graphs/aug_badbfct31.txt,0,3100,1,0,1,0,1,1,100,1234,0,1234,12134,0,3.0348,1.0401,1.4976,8.6717,123,11254,trends_bcf_aug_bfct
2024-06-14 13:58:35,SSSP,time,BCF,../data/graphs/aug_badbfct100.txt,0,100,1,0,1,0,1,1,100,1234,0,1234,12134,0,39.01,6.5598,28.05,61.24,399,119101,trends_bcf_aug_bfct
2024-06-14 13:58:39,SSSP,time,BCF,../data/graphs/aug_badbfct310.txt,0,31,1,0,1,0,1,1,100,1234,0,1234,12134,0,393.81,30.103,372.69,521.32,1239,1150411,trends_bcf_aug_bfct
2024-06-14 13:58:52,SSSP,time,BCF,../data/graphs/aug_badbfct1000.txt,0,10,1,0,1,0,1,1,100,1234,0,1234,12134,0,5066.9,145.04,4954.3,5383.1,3999,11991001,trends_bcf_aug_bfct
2024-06-14 13:59:54,SSSP,time,BCF,../data/graphs/aug_badbfct10.txt,0,10000,1,0,1,0,1,1,100,1234,0,1234,12134,0,0.19669,0.16819,0.11132,6.2426,39,1111,trends_bcf_aug_bfct
2024-06-14 14:03:14,SSSP,time,BCF,../data/graphs/aug_badbfct10.txt,0,10000,1,0,1,0,1,1,100,1234,0,1234,12134,0,0.23975,0.16782,0.132,2.2494,39,1111,trends_bcf_aug_bfct
2024-06-14 14:03:16,SSSP,time,BCF,../data/graphs/aug_badbfct31.txt,0,3100,1,0,1,0,1,1,100,1234,0,1234,12134,0,3.1424,1.2542,1.9287,10.02,123,11254,trends_bcf_aug_bfct
2024-06-14 14:03:26,SSSP,time,BCF,../data/graphs/aug_badbfct100.txt,0,100,1,0,1,0,1,1,100,1234,0,1234,12134,0,36.836,6.8006,27.57,66.43,399,119101,trends_bcf_aug_bfct
2024-06-14 14:03:30,SSSP,time,BCF,../data/graphs/aug_badbfct310.txt,0,31,1,0,1,0,1,1,100,1234,0,1234,12134,0,386.22,24.259,363.42,458.22,1239,1150411,trends_bcf_aug_bfct
2024-06-14 14:03:42,SSSP,time,BCF,../data/graphs/aug_badbfct1000.txt,0,10,1,0,1,0,1,1,100,1234,0,1234,12134,0,5006.7,170.47,4878.6,5392.6,3999,11991001,trends_bcf_aug_bfct
